Id_Key,Dept,Dept,Gender,Age,Total Comp,District,SSC_RES,HSC,CGPA,SSC_Board,HSC_Board,GroupOrSubject,TotalDue,ScholarshipCount,WaiverCount,ReAdmission,TotalLateRegFineCount,StudyDurationAtUiu,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,Course_10,Status
30,BBA,1,1,25,123,0,4.19,4.6,2.54,5,5,0,0,0,0,0,1,14,3.67,2.33,4,3.67,3,2.67,2,4.33,2.67,2.33,Complete
31,BBA,1,1,27,126,0,4.44,4.2,2.98,4,4,BUSINESS,0,0,0,0,1,14,3.67,3,4.33,4.67,4,3.67,3.67,3.67,2.67,4.33,Complete
32,BBA,1,1,25,126,0,4.06,4.1,3.13,5,5,business studies,0,2,0,0,0,14,4,3.33,4.33,4,4.33,2.67,5,4.67,3.67,3.67,Complete
33,BBA,1,2,0,9,0,4,3.8,0.94,5,5,Business Study,37000,0,0,0,0,2,1,1,1,3,2.33,3.33,0,0,0,0,Dropout
34,BBA,1,1,25,126,0,4.69,4.7,3.08,5,5,Buisness Studies,0,1,0,0,0,15,5,4.33,4.67,3.67,5,4.67,3.67,5,4.33,4.67,Complete
35,BBA,1,1,26,126,0,4.25,4.1,2.44,6,6,Business studies,-2,0,0,0,11,15,2.67,1,3,4,3,3.33,3,3.67,4,2,Complete
36,BBA,1,1,0,9,0,5,5,1.72,5,5,Business Studies,33240,0,2,0,0,2,1,1,1,5,3.67,4.67,0,0,0,0,Dropout
37,BBA,1,1,26,123,0,3.75,4.6,3.42,5,5,Business studies,0,5,0,0,0,13,5,4,5,5,4.67,4,5,5,5,4,Complete
38,BBA,1,1,27,123,0,4.13,4.6,3.15,5,5,Business Studies,0,1,0,0,3,12,5,4.33,3.67,3.67,5,5,3.67,3.33,3.67,3.33,Complete
39,BBA,1,1,26,36,0,4.31,4,1.79,5,5,business study,0,0,0,0,0,7,2,1,3.33,1,1,4,2.67,3,3.33,1,Dropout
40,BBA,1,1,25,45,0,4.13,3.7,2.04,11,11,Buisness Studies,0,0,0,0,2,7,2.33,1,1,1,3.67,1,2.67,3.67,1,4.33,Dropout
41,BBA,1,2,0,24,0,4.5,4.3,1.42,5,5,BUSINESS STUDIES,36600,0,0,0,0,5,1,1,1,1,1,1,4,2.33,2.33,1,Dropout
