Id_Key,Dept,Gender,Age,Total Comp,District,SSC_RES,HSC,CGPA,SSC_Board,HSC_Board,GroupOrSubject,TotalDue,ScholarshipCount,WaiverCount,ReAdmission,TotalLateRegFineCount,StudyDurationAtUiu,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,Course_10,Status
947,1,2,24,15,0,3.44,3.83,1.46,5,5,Business Studies,37000,0,0,0,0,3,1,1,1,1,3.33,2.33,3.33,3,4.67,0,Dropout
948,1,2,23,0,0,4.06,3.42,0,5,5,Business Studies,37000,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
949,1,1,25,9,0,3.81,3.75,1,5,5,Business Studies,38000,0,0,0,1,3,1,1,1,1,1,1,4.33,2,2.67,0,Dropout
950,1,1,24,9,0,3.33,3.1,1.17,5,5,all,38000,0,0,0,2,3,1,1,1,1,1,1,3,3,4,0,Dropout
951,1,1,24,123,0,4.31,4.08,2.43,5,5,science,0,0,0,0,1,15,2.67,4.33,3.67,3.33,4.33,3.33,3.33,2.67,2,3,Complete
952,1,1,25,0,0,4.5,4.08,0,5,5,Bussines,37000,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
953,1,1,24,123,0,3.75,3.5,2.72,5,5,Business Studies,0,0,0,0,1,15,1,2.33,3,3.33,3.67,4,1,4,2.67,5,Complete
954,1,1,26,0,0,3.94,3.5,0,5,5,Business Studies,37000,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
955,1,1,25,18,0,4.06,3.83,1.61,5,5,BUSINESS STUDIES,0,0,0,0,0,3,1,2.33,3,3,2.33,2,1,3,0,0,Dropout
956,1,1,26,9,0,4.19,5,3.33,4,5,Accounting,250,0,1,0,0,1,4.67,4,4.33,0,0,0,0,0,0,0,Dropout
957,1,2,25,123,0,4.81,4.42,2.81,5,5,Business Studies,0,0,0,0,0,14,4.33,3.67,3,3.67,4.33,3.67,4,3.67,2.67,5,Complete
958,1,1,28,123,0,4.88,4.42,2.42,5,5,Business Study,0,0,0,1,2,14,2,2.67,1,4,4.33,4,3,3.33,3,3.67,Complete
959,1,1,24,0,0,4.44,3.92,0,5,5,BUSINESS STUDIES,37000,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
960,1,2,27,123,0,4.56,4.4,2.19,5,5,Business Studies,0,0,0,0,2,14,5,2.67,3.33,4.33,3.67,3.33,3.33,3.33,3.67,4.67,Complete
961,1,1,23,39,0,4.06,4.08,1.82,5,5,Business Studies,0,0,0,0,0,6,2,2.33,3.33,2.33,1,1,2,2,2.33,2,Dropout
962,1,2,26,123,0,4.63,4,2.89,5,5,Business studies,0,1,0,0,0,16,4,4,3.33,3,2.67,4.33,3.67,2.33,1,2,Complete
963,1,1,24,9,0,4.81,3.75,1.78,5,5,Business Study,38000,0,0,0,1,1,2,2.33,4,0,0,0,0,0,0,0,Dropout
964,1,2,24,21,0,4.44,4.17,1.37,5,5,Business Study,0,0,0,0,0,4,1,1,1,2.67,2,1,2,3,1,4.67,Dropout
965,1,1,28,3,0,4.06,4.6,0.39,5,5,busness studies,41000,0,2,0,0,2,1,1,1,1,1,3.33,0,0,0,0,Dropout
966,1,2,25,123,0,4.94,5,2.95,5,5,Science,0,3,11,0,0,15,4.33,3.33,4.67,4,3.67,4.67,4,3,3,5,Complete
967,1,1,29,48,0,5,4.9,3.29,5,5,BUSINESS STUDIES,45500,2,7,0,3,7,3,4.33,4.67,4,4.33,4.67,3.33,4.33,5,4.67,Dropout
968,1,2,24,123,0,3.75,3.75,2.89,5,5,Business Study,0,4,0,0,5,16,5,4.67,4.33,5,4.67,5,5,5,5,5,Complete
969,1,1,25,27,0,3.81,3.7,1.39,5,5,Business Studies,0,0,4,0,0,5,1,2,3,1,1,1,1,1,2.33,1,Dropout
970,1,1,30,27,0,5,5,2.08,5,5,Business Studies,36650,1,4,0,1,5,1,1,1,1,1,2,3,2.33,1,4,Dropout
971,1,1,27,18,0,4.88,4.8,1.8,5,5,Commerce,50500,0,0,0,0,3,1,1,1,1,4,4.67,3,4,4.67,3.67,Dropout
972,1,1,24,123,0,4.19,3.83,2.79,5,5,Business Study,0,0,0,0,2,15,3.33,2.67,1,3.67,3.67,4,4.67,4,2.67,3.33,Complete
973,1,2,27,123,0,4.8,3.6,2.76,7,13,SCIENCE,0,1,0,0,1,13,3.67,5,4,4,2.33,5,4.33,5,4,4,Complete
974,1,1,31,18,0,4.6,2,1.37,7,7,"Mathematics, Further Pure Mathematics",0,0,0,0,1,6,1,1,1,1,1,1,1,1,2.33,3,Dropout
975,1,2,24,15,0,5,4.92,1.21,5,5,Business Studies,3200,0,0,0,1,4,1,1,1,1,1,1,2,2,3.33,4.33,Dropout
976,1,1,25,15,0,4.25,4.83,1.71,5,5,BUSINESS STUDY,0,0,3,0,1,3,1,1,3.33,3.33,2.33,4,2.33,1,4,0,Dropout
977,1,2,26,123,0,5,5,3.37,5,5,Science,0,2,11,0,1,13,4.67,4.67,4,4.67,4.33,4,4.33,2.67,3.67,4.33,Complete
978,1,2,25,3,0,5,5,0.78,10,10,commerce,500,0,1,0,0,1,3.33,1,1,0,0,0,0,0,0,0,Dropout
979,1,1,25,123,0,4.81,5,2.93,5,5,Business Studies,51000,1,10,0,1,11,5,4,4.67,4,3.67,4,4.33,3.67,2.33,4.33,Complete
980,1,1,26,33,0,3.94,3.5,1,5,5,Humanities,0,0,0,0,0,5,2,1,1,1,1,1,2.33,2.33,1,1,Dropout
981,1,2,24,123,0,3.75,3.92,3.02,5,5,Business Studeis,0,2,0,0,6,14,1,4,2.67,5,5,4.67,2,4,1,3.67,Complete
982,1,1,24,18,0,4.06,4.67,2.56,5,5,Commerce,37000,0,0,0,0,2,3,3.67,3,3.67,4,4,0,0,0,0,Dropout
983,1,1,27,0,0,5,5,0,6,6,Science,12500,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,Dropout
984,1,2,25,123,0,5,2.5,3.88,2,2,Science,0,10,0,0,3,12,5,5,5,5,5,5,5,5,5,4.67,Complete
985,1,2,26,15,0,4.19,3.6,1.33,5,5,Business Studies,-5500,0,0,0,1,3,4,2,1,0,0,0,0,0,0,0,Dropout
986,1,2,26,30,0,5,4.7,1.52,5,5,Business Studies,37000,0,0,0,1,5,1,1,3.33,3,2,3.33,3,2,2,0,Dropout
987,1,2,26,51,0,4.25,4.7,1.71,5,5,BUSINESS STUDIES,0,0,0,0,0,6,1,3.33,2.33,2,3.67,2,1,1,3,2,Dropout
988,1,2,26,42,0,4.75,5,1.36,5,5,Business Studies,38000,0,5,0,2,6,2,1,2.33,1,2.67,1,2.33,2,1,3.33,Dropout
989,1,2,26,9,0,5,5,1,5,5,BUSINESS STUDIES,37990,0,3,0,1,3,1,1,1,1,1,1,3.67,3.33,2,0,Dropout
990,1,2,25,0,0,5,5,0,5,5,Business Studies,14500,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
991,1,1,28,72,0,5,5,3.39,6,6,Science,-2,6,2,0,2,7,1,1,1,1,4.33,4.67,5,5,5,5,Dropout
992,1,1,27,0,0,5,5,0,5,5,Business Studies,26750,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,Dropout
993,1,1,25,120,0,4.44,5,2.34,5,5,BUSINESS STUDIES,29500,0,15,0,1,15,1,1,4.33,2.67,3.67,3.67,1,1,3.33,3.33,Dropout
994,1,1,26,18,0,4.75,5,1.52,11,5,Business Studies,37000,0,3,0,0,3,1,1,1,4,2.67,3.33,3.33,3.33,3,0,Dropout
995,1,2,26,27,0,3.75,5,1.39,5,4,Business Studies,-3000,0,2,0,0,3,1,1,1,4.33,3.67,3.33,0,0,0,0,Dropout
996,1,1,26,45,0,4.4,3.8,3.45,5,7,"Science, Maths, Social Science, Eng writing, Eng reading",-6200,1,0,0,3,6,3.67,4.67,4.67,5,3,5,4.67,3.67,4.33,4.67,Dropout
997,1,2,25,27,0,4.56,4.08,1.11,5,5,Business Studies,-700,0,0,0,0,5,4,2.33,1,2,1,2.67,2,2,1,2,Dropout
998,1,1,25,69,0,4.8,2,2.79,7,7,"Accounting, Business Studies",53750,1,0,0,7,9,3.67,3.67,3,4,3.33,1,1,3,3,1,Dropout
999,1,2,31,9,0,4.44,3.4,1.48,5,5,Business Studies,-30000,0,0,0,0,4,1,1,1,1,1,1,1,1,4.67,4.33,Dropout
1000,1,2,25,123,0,4.6,3.8,2.93,7,5,Science,0,2,0,0,3,15,2.67,4,4,4.33,4.67,4,4.67,2.67,3.33,4.67,Complete
1001,1,1,29,123,0,3,3.2,2.89,7,13,GED,0,2,0,0,2,13,3.67,4,4.33,4.67,5,5,4.33,4.33,2,1,Complete
1002,1,1,26,123,0,5,5,3.7,5,5,Business Studies,0,8,4,0,4,13,4.67,4.67,4,5,4.67,5,5,4.67,4.67,5,Complete
1003,1,1,28,123,0,5,4,2.7,7,13,General,-500,2,0,0,0,15,1,4.67,4.67,2.33,2.33,2.33,4.33,3.33,2.67,2.67,Complete
1004,1,1,26,33,0,3.81,3.75,1.83,5,5,BUSINESS STUDY,37200,0,0,0,0,4,2,2.33,1,2,2.67,4,3.33,3.33,2.33,3,Dropout
1005,1,2,26,123,0,5,4.1,2.31,6,6,Business Studies,0,0,0,0,1,16,2,4.33,1,1,4.33,2,3,2,3,3.33,Complete
1006,1,2,30,0,0,3.6,4.5,0,7,7,"Accounting,Law",37000,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
1007,1,1,23,24,0,4.75,3.5,1.59,5,5,commerce,0,0,0,0,1,5,3.67,2.67,2.67,1,1,2,1,2,2,2.67,Dropout
1008,1,2,25,9,0,5,3.92,1,4,4,SCIENCE,0,0,0,0,0,2,1,1,1,3,2,4,0,0,0,0,Dropout
